Parâmetros:  T = 90°C   VR = 1.00V  G = 1.32e-09A
-0.541	-0.0360	89.90
-0.541	-0.0360	89.90
-0.500	-0.0360	89.90
-0.541	-0.0360	89.90
-0.541	-0.0360	89.90
-0.500	-0.0360	89.87
-0.416	-0.0360	89.87
-0.291	-0.0360	89.90
-0.125	-0.0360	89.90
0.042	-0.0480	89.95
0.250	-0.0420	89.95
0.416	-0.0360	89.93
0.541	-0.0360	89.93
0.666	-0.0420	89.85
0.750	-0.0360	89.85
0.874	-0.0420	89.85
0.958	-0.0420	89.85
1.041	-0.0420	89.85
1.166	-0.0420	89.85
1.208	-0.0360	89.85
1.249	-0.0360	89.80
1.332	-0.0360	89.80
1.416	-0.0360	89.77
1.457	-0.0360	89.77
1.541	-0.0360	89.75
1.624	-0.0360	89.75
1.666	-0.0360	89.77
1.791	-0.0360	89.77
1.874	-0.0360	89.75
1.957	-0.0360	89.75
1.999	-0.0360	89.75
2.082	-0.0360	89.65
2.124	-0.0420	89.65
2.207	-0.0360	89.57
2.249	-0.0360	89.57
2.332	-0.0360	89.60
2.373	-0.0360	89.60
2.457	-0.0360	89.60
2.540	-0.0360	89.55
2.582	-0.0360	89.55
2.665	-0.0360	89.55
2.790	-0.0360	89.47
2.832	-0.0420	89.47
2.915	-0.0420	89.50
2.956	-0.0360	89.50
3.040	-0.0360	89.43
3.081	-0.0360	89.43
3.165	-0.0360	89.40
3.248	-0.0360	89.40
3.290	-0.0360	89.30
3.373	-0.0420	89.30
3.456	-0.0420	89.25
3.498	-0.0360	89.25
3.623	-0.0360	89.30
3.664	-0.0420	89.30
3.748	-0.0360	89.30
3.789	-0.0360	89.30
3.831	-0.0360	89.27
3.914	-0.0360	89.27
3.997	-0.0360	89.20
4.039	-0.0360	89.20
4.122	-0.0360	89.18
4.206	-0.0360	89.18
4.289	-0.0360	89.15
4.331	-0.0360	89.15
4.414	-0.0360	89.12
4.497	-0.0360	89.12
4.539	-0.0360	89.02
4.622	-0.0360	89.02
4.705	-0.0360	89.02
4.789	-0.0360	89.02
4.872	-0.0420	88.93
4.914	-0.0360	88.93
4.955	-0.0420	88.82
4.997	-0.0360	88.82
5.080	-0.0360	88.72
5.163	-0.0420	88.72
5.247	-0.0420	88.68
5.288	-0.0360	88.68
5.372	-0.0360	88.62
5.455	-0.0360	88.62
5.496	-0.0360	88.55
5.580	-0.0360	88.55
5.663	-0.0360	88.43
5.705	-0.0360	88.43
5.788	-0.0420	88.35
5.871	-0.0360	88.35
5.913	-0.0420	88.32
5.996	-0.0360	88.32
6.079	-0.0360	88.22
6.121	-0.0360	88.22
6.204	-0.0360	88.18
6.246	-0.0360	88.18
6.329	-0.0360	88.10
6.413	-0.0360	88.10
6.454	-0.0420	88.12
6.496	-0.0360	88.12
6.621	-0.0420	88.10
6.662	-0.0360	88.10
6.704	-0.0360	88.12
6.787	-0.0360	88.12
6.871	-0.0420	88.05
6.954	-0.0420	88.05
6.996	-0.0360	88.10
7.037	-0.0360	88.10
7.120	-0.0360	88.10
7.204	-0.0420	88.10
7.245	-0.0420	88.07
7.329	-0.0360	88.07
7.412	-0.0360	88.07
7.454	-0.0360	88.07
7.537	-0.0420	88.07
7.620	-0.0360	88.07
7.662	-0.0360	88.10
7.703	-0.0420	88.10
7.787	-0.0420	88.00
7.828	-0.0360	87.90
7.953	-0.0360	87.90
7.995	-0.0360	87.82
8.078	-0.0420	87.82
8.120	-0.0360	87.82
8.203	-0.0420	87.82
8.245	-0.0360	87.75
8.328	-0.0420	87.75
8.370	-0.0420	87.70
8.453	-0.0360	87.70
8.495	-0.0420	87.72
8.578	-0.0420	87.72
8.619	-0.0420	87.75
8.703	-0.0420	87.75
8.744	-0.0420	87.80
8.828	-0.0420	87.80
8.911	-0.0420	87.77
8.953	-0.0420	87.77
9.036	-0.0420	87.82
9.078	-0.0420	87.82
9.161	-0.0480	87.80
9.202	-0.0480	87.80
9.286	-0.0480	87.72
9.369	-0.0480	87.72
9.452	-0.0480	87.75
9.494	-0.0480	87.75
9.536	-0.0480	87.72
9.619	-0.0480	87.72
9.702	-0.0540	87.70
9.785	-0.0540	87.70
9.785	-0.0540	87.62
9.910	-0.0540	87.62
9.952	-0.0540	87.62
9.994	-0.0540	87.62
10.077	-0.0540	87.52
10.160	-0.0540	87.52
10.202	-0.0540	87.50
10.243	-0.0540	87.50
10.327	-0.0540	87.45
10.368	-0.0540	87.45
10.452	-0.0600	87.60
10.493	-0.0540	87.60
10.577	-0.0540	87.80
10.660	-0.0600	87.80
10.701	-0.0600	87.90
10.826	-0.0600	87.90
10.868	-0.0600	88.02
10.951	-0.0600	88.02
10.993	-0.0600	88.22
11.076	-0.0600	88.22
11.118	-0.0600	88.40
11.201	-0.0600	88.40
11.284	-0.0660	88.50
11.326	-0.0660	88.50
11.409	-0.0660	88.72
11.493	-0.0660	88.72
11.493	-0.0660	88.95
11.618	-0.0660	88.95
11.659	-0.0660	89.22
11.742	-0.0720	89.22
11.784	-0.0720	89.47
11.867	-0.0780	89.47
11.909	-0.0780	89.68
11.992	-0.0780	89.68
12.076	-0.0840	89.85
12.159	-0.0840	89.85
12.159	-0.0840	90.07
12.284	-0.0900	90.07
12.325	-0.0900	90.25
12.409	-0.0900	90.25
12.492	-0.0960	90.43
12.492	-0.0900	90.43
12.575	-0.1020	90.50
12.700	-0.1020	90.50
12.700	-0.1020	90.60
12.783	-0.1080	90.60
12.867	-0.1080	90.60
12.950	-0.1140	90.60
12.992	-0.1200	90.57
13.075	-0.1200	90.57
