ang	U35	U32	U29	U26	U23	U20
2.5	5	5	0	1	2	1
2.6	2	1	5	0	0	0
2.7	5	2	0	1	0	1
2.8	6	3	4	1	2	0
2.9	4	4	3	1	0	0
3.0	8	2	3	0	2	0
3.1	7	3	4	1	0	0
3.2	6	4	2	1	0	1
3.3	4	2	5	2	1	0
3.4	4	3	4	2	0	2
3.5	8	6	2	1	0	0
3.6	17	3	3	2	0	0
3.7	24	5	3	0	0	2
3.8	44	4	9	2	0	1
3.9	145	4	4	2	0	0
4.0	276	10	2	3	2	0
4.1	432	15	3	0	0	0
4.2	545	68	2	3	1	1
4.3	614	152	1	2	4	0
4.4	716	284	3	2	2	0
4.5	794	406	7	2	2	1
4.6	885	481	37	1	1	0
4.7	918	567	130	5	1	1
4.8	934	622	220	3	1	1
4.9	964	646	304	2	1	1
5.0	952	665	374	6	1	2
5.1	941	686	384	21	2	1
5.2	949	682	445	60	5	0
5.3	937	644	469	124	2	0
5.4	899	682	471	169	0	1
5.5	869	653	475	206	0	2
5.6	826	625	449	234	2	2
5.7	811	630	479	263	6	1
5.8	731	608	477	241	19	2
5.9	679	599	455	268	47	1
6.0	652	522	446	265	70	1
6.1	669	511	421	271	107	0
6.2	758	598	457	325	125	1
6.3	1094	818	584	354	139	1
6.4	1339	1034	705	424	192	0
6.5	1145	840	580	391	169	3
6.6	809	604	443	333	172	3
6.7	587	453	404	266	159	16
6.8	605	478	367	324	147	33
6.9	625	514	404	270	150	33
7.0	736	543	452	306	183	59
7.1	1651	1195	822	441	207	75
7.2	2515	1819	1255	685	257	64
7.3	2155	1646	1117	573	231	76
7.4	1337	1010	660	404	182	82
7.5	652	480	404	251	168	82
7.6	407	343	287	228	140	91
7.7	367	309	280	198	157	83
7.8	361	294	232	191	137	94
7.9	356	296	249	212	144	73
8.0	346	268	225	179	118	82
8.1	341	251	225	171	129	95
8.2	330	255	210	165	124	81
8.3	347	227	194	131	115	80
8.4	308	231	175	150	112	77
8.5	327	243	179	135	109	80
8.6	284	236	163	144	96	54
8.7	302	206	145	124	94	70
8.8	278	221	142	115	99	54
8.9	293	196	158	112	84	66
9.0	262	201	125	86	78	58
9.1	253	179	123	87	84	38
9.2	256	181	97	86	52	39
9.3	248	166	98	95	73	40
9.4	223	186	96	61	48	48
9.5	213	147	102	70	57	38
9.6	232	138	108	65	47	34
9.7	214	144	97	57	44	35
9.8	213	139	91	58	36	33
9.9	200	130	79	49	34	25
10.0	186	128	89	43	45	28
10.1	192	158	85	48	33	27
10.2	184	152	102	34	35	25
10.3	167	109	87	43	34	26
10.4	164	136	64	45	21	14
10.5	168	146	104	38	30	17
10.6	168	126	84	39	16	18
10.7	149	112	83	46	26	17
10.8	133	115	81	35	16	18
10.9	161	104	61	42	22	13
11.0	128	121	96	29	19	18
11.1	139	106	83	49	22	7
11.2	128	113	67	55	10	16
11.3	111	115	77	52	13	5
11.4	136	119	92	34	13	5
11.5	117	94	63	43	9	4
11.6	141	98	82	32	11	7
11.7	124	97	70	45	10	7
11.8	120	95	68	41	12	6
11.9	123	106	81	46	11	5
12.0	106	94	65	54	18	5
