Tensao [V];Corrente [A]
-3;-2,03667E-05
-2,95;-1,550086E-05
-2,9;-1,306169E-05
-2,85;-1,074673E-05
-2,8;-9,159795E-06
-2,75;-7,654674E-06
-2,7;-6,803307E-06
-2,65;-6,020655E-06
-2,6;-5,364056E-06
-2,55;-5,288177E-06
-2,5;-4,596234E-06
-2,45;-3,692962E-06
-2,4;-3,505241E-06
-2,35;-3,919985E-06
-2,3;-3,433314E-06
-2,25;-3,1728E-06
-2,2;-2,459724E-06
-2,15;-1,459441E-06
-2,1;-1,373056E-06
-2,05;-7,777552E-07
-2;-3,687372E-08
-1,95;2,16966E-07
-1,9;8,319146E-07
-1,85;1,040893E-06
-1,8;1,562783E-06
-1,75;2,108896E-06
-1,7;2,465433E-06
-1,65;2,687758E-06
-1,6;3,24215E-06
-1,55;3,524414E-06
-1,5;4,762095E-06
-1,45;5,279539E-06
-1,4;5,730739E-06
-1,35;5,508413E-06
-1,3;5,992735E-06
-1,25;6,354213E-06
-1,2;6,691966E-06
-1,15;7,366358E-06
-1,1;7,363514E-06
-1,05;8,168782E-06
-1;8,623073E-06
-0,95;8,799053E-06
-0,9;9,57812E-06
-0,85;9,805511E-06
-0,8;1,044233E-05
-0,75;1,124624E-05
-0,7;1,096743E-05
-0,65;1,210662E-05
-0,6;1,209748E-05
-0,55;1,290596E-05
-0,5;1,314138E-05
-0,45;1,414698E-05
-0,4;1,427797E-05
-0,35;1,488872E-05
-0,3;1,501848E-05
-0,25;1,592237E-05
-0,2;1,603372E-05
-0,15;1,632673E-05
-0,1;1,716104E-05
-0,05;1,73563E-05
0;2,030573E-05
0,05;1,810052E-05
0,1;1,795073E-05
0,15;1,808853E-05
0,2;1,840873E-05
0,25;1,920633E-05
0,3;1,94058E-05
0,35;2,035714E-05
0,4;1,992311E-05
0,45;2,052015E-05
0,5;2,069131E-05
0,55;2,120738E-05
0,6;2,173558E-05
0,65;2,219258E-05
0,7;2,275662E-05
0,75;2,342582E-05
0,8;2,377271E-05
0,85;2,40687E-05
0,9;2,491709E-05
0,95;2,423356E-05
1;2,528698E-05
1,05;2,585176E-05
1,1;2,628751E-05
1,15;2,710897E-05
1,2;2,783143E-05
1,25;2,749368E-05
1,3;2,832081E-05
1,35;2,867685E-05
1,4;2,962239E-05
1,45;2,989118E-05
1,5;3,054679E-05
1,55;3,110168E-05
1,6;3,175024E-05
1,65;3,218784E-05
1,7;3,215584E-05
1,75;3,280242E-05
1,8;3,302006E-05
1,85;3,395693E-05
1,9;3,454715E-05
1,95;3,495635E-05
2;3,577619E-05
