Tensao [V];Corrente [A]
-3;-1,801748E-05
-2,95;-1,278139E-05
-2,9;-9,718873E-06
-2,85;-7,225707E-06
-2,8;-5,402113E-06
-2,75;-3,815552E-06
-2,7;-1,882341E-06
-2,65;-1,524938E-06
-2,6;2,706004E-07
-2,55;1,601463E-06
-2,5;3,008205E-06
-2,45;3,908381E-06
-2,4;4,957473E-06
-2,35;5,875445E-06
-2,3;6,682809E-06
-2,25;8,134909E-06
-2,2;8,916939E-06
-2,15;9,554255E-06
-2,1;1,074844E-05
-2,05;1,199539E-05
-2;1,256473E-05
-1,95;1,377053E-05
-1,9;1,471235E-05
-1,85;1,611192E-05
-1,8;1,725581E-05
-1,75;1,808258E-05
-1,7;1,872546E-05
-1,65;1,985525E-05
-1,6;2,105399E-05
-1,55;2,190993E-05
-1,5;2,419571E-05
-1,45;2,473404E-05
-1,4;2,568736E-05
-1,35;2,724821E-05
-1,3;2,825182E-05
-1,25;2,881054E-05
-1,2;3,049189E-05
-1,15;3,194782E-05
-1,1;3,203803E-05
-1,05;3,434557E-05
-1;3,561822E-05
-0,95;3,719786E-05
-0,9;3,906779E-05
-0,85;4,000677E-05
-0,8;4,19888E-05
-0,75;4,435405E-05
-0,7;4,655331E-05
-0,65;4,991439E-05
-0,6;5,334121E-05
-0,55;5,926427E-05
-0,5;6,589646E-05
-0,45;7,725E-05
-0,4;9,232029E-05
-0,35;0,0001112093
-0,3;0,0001367844
-0,25;0,0001679859
-0,2;0,000207046
-0,15;0,0002530703
-0,1;0,0003125662
-0,05;0,000380499
0;0,0004539744
0,05;0,0005223541
0,1;0,0005918098
0,15;0,0006622025
0,2;0,0007329616
0,25;0,0008045712
0,3;0,0008755764
0,35;0,0009469966
0,4;0,001018678
0,45;0,001090321
0,5;0,001162863
0,55;0,001234554
0,6;0,001307507
0,65;0,001381114
0,7;0,001454881
0,75;0,001529551
0,8;0,001604409
0,85;0,0016798
0,9;0,001755555
0,95;0,001833316
1;0,001909821
1,05;0,001986031
1,1;0,002060526
1,15;0,002130233
1,2;0,002210441
1,25;0,002283949
1,3;0,002357689
1,35;0,002428608
1,4;0,002500662
1,45;0,002571556
1,5;0,002641158
1,55;0,00271018
1,6;0,002775963
1,65;0,002841826
1,7;0,002907077
1,75;0,002967675
1,8;0,003028555
1,85;0,003087343
1,9;0,0031467
1,95;0,003204944
2;0,003262405
