Tensao [V];Corrente [A]
-3;-1,862365E-05
-2,95;-1,28297E-05
-2,9;-1,095668E-05
-2,85;-1,000361E-05
-2,8;-7,512044E-06
-2,75;-4,836841E-06
-2,7;-3,547621E-06
-2,65;-3,225564E-06
-2,6;-2,640027E-06
-2,55;-2,478875E-06
-2,5;-1,334001E-06
-2,45;-8,56476E-07
-2,4;-6,372399E-07
-2,35;-1,531664E-07
-2,3;1,569948E-06
-2,25;2,053403E-06
-2,2;3,21508E-06
-2,15;4,244027E-06
-2,1;5,072772E-06
-2,05;5,368011E-06
-2;4,309403E-06
-1,95;6,455416E-06
-1,9;7,36214E-06
-1,85;7,504137E-06
-1,8;9,29633E-06
-1,75;1,039894E-05
-1,7;1,081948E-05
-1,65;1,170409E-05
-1,6;1,167332E-05
-1,55;1,300764E-05
-1,5;1,344846E-05
-1,45;1,475917E-05
-1,4;1,636229E-05
-1,35;1,631706E-05
-1,3;1,739123E-05
-1,25;1,832984E-05
-1,2;1,898904E-05
-1,15;1,955764E-05
-1,1;2,112418E-05
-1,05;2,22117E-05
-1;2,336213E-05
-0,95;2,298323E-05
-0,9;2,579287E-05
-0,85;2,649396E-05
-0,8;2,839132E-05
-0,75;2,963147E-05
-0,7;3,274242E-05
-0,65;3,366954E-05
-0,6;3,624042E-05
-0,55;3,95643E-05
-0,5;4,296247E-05
-0,45;4,766613E-05
-0,4;5,391752E-05
-0,35;6,197376E-05
-0,3;7,31953E-05
-0,25;8,722342E-05
-0,2;0,0001051119
-0,15;0,0001274938
-0,1;0,000155614
-0,05;0,0001877028
0;0,0002244415
0,05;0,0002573465
0,1;0,0002937699
0,15;0,000330045
0,2;0,0003667325
0,25;0,0004023529
0,3;0,0004392914
0,35;0,0004754329
0,4;0,0005117191
0,45;0,0005455767
0,5;0,0005807732
0,55;0,0006172028
0,6;0,0006449324
0,65;0,0006832678
0,7;0,0007203305
0,75;0,0007531815
0,8;0,0007763358
0,85;0,0008217951
0,9;0,0009096914
0,95;0,0009511095
1;0,001008423
1,05;0,001052873
1,1;0,001095211
1,15;0,001137454
1,2;0,001180245
1,25;0,00121954
1,3;0,001261396
1,35;0,001301795
1,4;0,00134152
1,45;0,001380874
1,5;0,001419419
1,55;0,00145734
1,6;0,001493817
1,65;0,001528847
1,7;0,001563709
1,75;0,001600337
1,8;0,001637074
1,85;0,001669352
1,9;0,001700894
1,95;0,001733547
2;0,001766149
