Tensao [V];Corrente [A]
-3;-1,016601E-05
-2,95;-7,02329E-06
-2,9;-3,590514E-06
-2,85;-3,500347E-07
-2,8;7,933565E-07
-2,75;2,992639E-06
-2,7;4,897793E-06
-2,65;6,638085E-06
-2,6;7,00525E-06
-2,55;9,446878E-06
-2,5;1,005367E-05
-2,45;1,097807E-05
-2,4;1,170931E-05
-2,35;1,303746E-05
-2,3;1,411733E-05
-2,25;1,608712E-05
-2,2;1,702178E-05
-2,15;2,239911E-05
-2,1;2,16921E-05
-2,05;1,983317E-05
-2;2,292953E-05
-1,95;2,37301E-05
-1,9;2,505133E-05
-1,85;2,570051E-05
-1,8;2,635069E-05
-1,75;2,737791E-05
-1,7;2,896657E-05
-1,65;3,129648E-05
-1,6;3,245618E-05
-1,55;3,36993E-05
-1,5;3,624201E-05
-1,45;3,711834E-05
-1,4;3,894701E-05
-1,35;4,080421E-05
-1,3;4,275028E-05
-1,25;4,402429E-05
-1,2;4,630958E-05
-1,15;4,873243E-05
-1,1;5,075747E-05
-1,05;5,275556E-05
-1;5,697048E-05
-0,95;6,168244E-05
-0,9;6,85895E-05
-0,85;7,66785E-05
-0,8;8,703374E-05
-0,75;0,0001001129
-0,7;0,0001154208
-0,65;0,000135223
-0,6;0,0001577734
-0,55;0,0001846646
-0,5;0,000215616
-0,45;0,0002516566
-0,4;0,0002925143
-0,35;0,0003380007
-0,3;0,0003886161
-0,25;0,0004433902
-0,2;0,0005045993
-0,15;0,0005721249
-0,1;0,0006464815
-0,05;0,0007286881
0;0,000817197
0,05;0,0009008336
0,1;0,0009880348
0,15;0,001077528
0,2;0,001167875
0,25;0,001260575
0,3;0,001353698
0,35;0,001449108
0,4;0,00154505
0,45;0,001644026
0,5;0,001743831
0,55;0,00184526
0,6;0,00194817
0,65;0,002052886
0,7;0,002145636
0,75;0,002263991
0,8;0,002372152
0,85;0,002480089
0,9;0,002587616
0,95;0,002696377
1;0,002805151
1,05;0,002913454
1,1;0,003021667
1,15;0,003127753
1,2;0,003233915
1,25;0,003338691
1,3;0,003441203
1,35;0,003540926
1,4;0,003640173
1,45;0,003738578
1,5;0,003835216
1,55;0,003927928
1,6;0,004022263
1,65;0,004114352
1,7;0,004204046
1,75;0,004293914
1,8;0,004379689
1,85;0,004464066
1,9;0,004548845
1,95;0,004631554
2;0,004713932
