Tensao [V];Corrente [A]
-3;-2,119076E-05
-2,95;-1,658344E-05
-2,9;-1,416071E-05
-2,85;-1,248147E-05
-2,8;-1,188727E-05
-2,75;-1,016181E-05
-2,7;-9,084533E-06
-2,65;-7,937801E-06
-2,6;-6,571588E-06
-2,55;-6,651794E-06
-2,5;-5,950087E-06
-2,45;-5,313388E-06
-2,4;-4,382186E-06
-2,35;-3,572962E-06
-2,3;-3,031668E-06
-2,25;-2,655479E-06
-2,2;-2,064257E-06
-2,15;-1,602921E-06
-2,1;-6,94707E-07
-2,05;-2,928144E-07
-2;-2,197768E-07
-1,95;3,699611E-07
-1,9;9,313981E-07
-1,85;1,464535E-06
-1,8;2,419707E-06
-1,75;2,233591E-06
-1,7;2,982998E-06
-1,65;3,834729E-06
-1,6;4,516659E-06
-1,55;4,666811E-06
-1,5;5,261121E-06
-1,45;5,461698E-06
-1,4;5,425241E-06
-1,35;6,186142E-06
-1,3;6,790092E-06
-1,25;6,710751E-06
-1,2;7,064816E-06
-1,15;7,826828E-06
-1,1;8,352302E-06
-1,05;8,939818E-06
-1;9,135324E-06
-0,95;9,764732E-06
-0,9;1,030899E-05
-0,85;1,056691E-05
-0,8;1,046532E-05
-0,75;1,173625E-05
-0,7;1,237505E-05
-0,65;1,308331E-05
-0,6;1,307552E-05
-0,55;1,353858E-05
-0,5;1,33731E-05
-0,45;1,434767E-05
-0,4;1,448671E-05
-0,35;1,47298E-05
-0,3;1,496226E-05
-0,25;1,55473E-05
-0,2;1,621131E-05
-0,15;1,656611E-05
-0,1;1,65058E-05
-0,05;1,718625E-05
0;2,04827E-05
0,05;1,7568E-05
0,1;1,786299E-05
0,15;1,791897E-05
0,2;1,810756E-05
0,25;1,867765E-05
0,3;1,901788E-05
0,35;1,925936E-05
0,4;1,96641E-05
0,45;2,0108E-05
0,5;2,14956E-05
0,55;2,128673E-05
0,6;2,103697E-05
0,65;2,125065E-05
0,7;2,193988E-05
0,75;2,256595E-05
0,8;2,333278E-05
0,85;2,353447E-05
0,9;2,361096E-05
0,95;2,40178E-05
1;2,507356E-05
1,05;2,503192E-05
1,1;2,505997E-05
1,15;2,595594E-05
1,2;2,646474E-05
1,25;2,705645E-05
1,3;2,738544E-05
1,35;2,815288E-05
1,4;2,838139E-05
1,45;2,872507E-05
1,5;2,917429E-05
1,55;2,954393E-05
1,6;2,992061E-05
1,65;2,989243E-05
1,7;3,050417E-05
1,75;3,186852E-05
1,8;3,162679E-05
1,85;3,207157E-05
1,9;3,271309E-05
1,95;3,337636E-05
2;3,305196E-05
