Tensao [V];Corrente [A]
-3;-1,80311E-05
-2,95;-1,226396E-05
-2,9;-1,012584E-05
-2,85;-7,835843E-06
-2,8;-6,098388E-06
-2,75;-4,718578E-06
-2,7;-3,850778E-06
-2,65;-2,725304E-06
-2,6;-1,493055E-06
-2,55;-1,053099E-06
-2,5;2,550284E-07
-2,45;3,67242E-07
-2,4;1,062273E-06
-2,35;2,006816E-06
-2,3;3,081369E-06
-2,25;3,497842E-06
-2,2;4,037405E-06
-2,15;4,177302E-06
-2,1;5,608885E-06
-2,05;7,123146E-06
-2;6,859791E-06
-1,95;7,872059E-06
-1,9;7,534061E-06
-1,85;9,095651E-06
-1,8;1,029317E-05
-1,75;1,081049E-05
-1,7;1,125588E-05
-1,65;1,190877E-05
-1,6;1,232623E-05
-1,55;1,355699E-05
-1,5;1,460126E-05
-1,45;1,489984E-05
-1,4;1,525477E-05
-1,35;1,663296E-05
-1,3;1,715658E-05
-1,25;1,846594E-05
-1,2;1,831802E-05
-1,15;1,937082E-05
-1,1;2,022292E-05
-1,05;2,063285E-05
-1;2,109739E-05
-0,95;2,193046E-05
-0,9;2,446416E-05
-0,85;2,511877E-05
-0,8;2,565043E-05
-0,75;2,625067E-05
-0,7;2,877782E-05
-0,65;2,970913E-05
-0,6;3,122723E-05
-0,55;3,291537E-05
-0,5;3,546278E-05
-0,45;3,803725E-05
-0,4;4,258893E-05
-0,35;4,817215E-05
-0,3;5,460909E-05
-0,25;6,343994E-05
-0,2;7,323312E-05
-0,15;8,610094E-05
-0,1;0,0001018167
-0,05;0,0001193701
0;0,0001411258
0,05;0,0001587425
0,1;0,0001791157
0,15;0,0002006175
0,2;0,0002212342
0,25;0,0002426834
0,3;0,0002646571
0,35;0,0002865874
0,4;0,00030905
0,45;0,0003307184
0,5;0,0003531276
0,55;0,0003762362
0,6;0,0003983406
0,65;0,0004221481
0,7;0,0004459062
0,75;0,0004689006
0,8;0,0004923014
0,85;0,0005165867
0,9;0,0005416242
0,95;0,0005661265
1;0,0005914349
1,05;0,0006168679
1,1;0,0006422869
1,15;0,0006667661
1,2;0,0006911242
1,25;0,0007164302
1,3;0,0007407423
1,35;0,0007649499
1,4;0,0007890999
1,45;0,0008119632
1,5;0,0008353344
1,55;0,0008580174
1,6;0,000881017
1,65;0,0009026308
1,7;0,0009241081
1,75;0,0009432397
1,8;0,0009648077
1,85;0,0009854924
1,9;0,001005415
1,95;0,001025228
2;0,001044581
