Tensao [V];Corrente [A]
-3;-1,989657E-05
-2,95;-1,500144E-05
-2,9;-1,207956E-05
-2,85;-1,011644E-05
-2,8;-8,3387E-06
-2,75;-6,749669E-06
-2,7;-5,466998E-06
-2,65;-4,577816E-06
-2,6;-3,603734E-06
-2,55;-3,186144E-06
-2,5;-2,080693E-06
-2,45;-2,073648E-06
-2,4;-6,122767E-07
-2,35;2,507034E-07
-2,3;3,010019E-07
-2,25;8,10534E-07
-2,2;1,012098E-06
-2,15;1,473308E-06
-2,1;2,051057E-06
-2,05;2,880175E-06
-2;3,137721E-06
-1,95;3,204209E-06
-1,9;3,960164E-06
-1,85;4,136764E-06
-1,8;5,104169E-06
-1,75;5,639283E-06
-1,7;5,337247E-06
-1,65;5,975922E-06
-1,6;6,912187E-06
-1,55;7,462871E-06
-1,5;7,701262E-06
-1,45;7,553334E-06
-1,4;8,290628E-06
-1,35;9,717389E-06
-1,3;9,296098E-06
-1,25;9,918209E-06
-1,2;1,007825E-05
-1,15;1,104393E-05
-1,1;1,17963E-05
-1,05;1,176368E-05
-1;1,267843E-05
-0,95;1,315484E-05
-0,9;1,354969E-05
-0,85;1,413943E-05
-0,8;1,431219E-05
-0,75;1,520409E-05
-0,7;1,586563E-05
-0,65;1,652939E-05
-0,6;1,623947E-05
-0,55;1,652049E-05
-0,5;1,680164E-05
-0,45;1,738001E-05
-0,4;1,768835E-05
-0,35;1,837362E-05
-0,3;1,870123E-05
-0,25;1,918531E-05
-0,2;1,985933E-05
-0,15;2,002937E-05
-0,1;2,062616E-05
-0,05;2,08465E-05
0;2,350082E-05
0,05;2,155971E-05
0,1;2,187237E-05
0,15;2,170516E-05
0,2;2,198248E-05
0,25;2,186062E-05
0,3;2,215562E-05
0,35;2,336265E-05
0,4;2,315836E-05
0,45;2,393582E-05
0,5;2,409858E-05
0,55;2,501136E-05
0,6;2,512926E-05
0,65;2,55529E-05
0,7;2,61042E-05
0,75;2,717542E-05
0,8;2,734819E-05
0,85;2,770855E-05
0,9;2,797648E-05
0,95;2,851987E-05
1;2,955907E-05
1,05;2,975681E-05
1,1;3,070728E-05
1,15;3,068281E-05
1,2;3,119667E-05
1,25;3,229915E-05
1,3;3,300938E-05
1,35;3,390437E-05
1,4;3,383702E-05
1,45;3,523772E-05
1,5;3,516369E-05
1,55;3,500055E-05
1,6;3,503565E-05
1,65;3,57816E-05
1,7;3,621278E-05
1,75;3,682241E-05
1,8;3,630114E-05
1,85;3,654929E-05
1,9;3,686765E-05
1,95;3,730302E-05
2;3,839377E-05
