Tensao [V];Corrente [A]
-3;-1,122291E-05
-2,95;-6,151287E-06
-2,9;-3,588168E-06
-2,85;-5,281178E-07
-2,8;9,482068E-07
-2,75;2,992269E-06
-2,7;4,224887E-06
-2,65;6,014245E-06
-2,6;7,620081E-06
-2,55;8,447344E-06
-2,5;9,108142E-06
-2,45;1,097128E-05
-2,4;1,233242E-05
-2,35;1,379181E-05
-2,3;1,438291E-05
-2,25;1,584786E-05
-2,2;1,642697E-05
-2,15;1,84331E-05
-2,1;1,971799E-05
-2,05;2,167641E-05
-2;2,241061E-05
-1,95;2,338123E-05
-1,9;2,455539E-05
-1,85;2,543283E-05
-1,8;2,637218E-05
-1,75;2,591493E-05
-1,7;2,910115E-05
-1,65;3,101903E-05
-1,6;3,292146E-05
-1,55;3,332966E-05
-1,5;3,450123E-05
-1,45;3,642171E-05
-1,4;3,726752E-05
-1,35;3,856428E-05
-1,3;3,958889E-05
-1,25;4,15452E-05
-1,2;4,407557E-05
-1,15;4,601224E-05
-1,1;4,933181E-05
-1,05;5,175268E-05
-1;5,630991E-05
-0,95;6,2485E-05
-0,9;7,008807E-05
-0,85;7,884231E-05
-0,8;8,951048E-05
-0,75;0,0001027431
-0,7;0,0001173768
-0,65;0,0001335681
-0,6;0,0001534547
-0,55;0,0001744621
-0,5;0,00019843
-0,45;0,000225476
-0,4;0,0002542639
-0,35;0,0002860878
-0,3;0,0003212649
-0,25;0,0003594294
-0,2;0,0004013289
-0,15;0,0004461845
-0,1;0,0004971424
-0,05;0,0005514423
0;0,0006106848
0,05;0,0006666508
0,1;0,0007251069
0,15;0,0007850062
0,2;0,0008468738
0,25;0,0009103044
0,3;0,0009742753
0,35;0,001039869
0,4;0,001107324
0,45;0,001174957
0,5;0,001245038
0,55;0,0013162
0,6;0,001387552
0,65;0,001460504
0,7;0,001536047
0,75;0,001611314
0,8;0,001686297
0,85;0,001763423
0,9;0,001839829
0,95;0,001917567
1;0,00199592
1,05;0,002072085
1,1;0,002141445
1,15;0,002223875
1,2;0,002299633
1,25;0,002375043
1,3;0,002449399
1,35;0,002522845
1,4;0,002594333
1,45;0,002664043
1,5;0,002733648
1,55;0,002803004
1,6;0,002869812
1,65;0,002937241
1,7;0,00300449
1,75;0,003069367
1,8;0,003134031
1,85;0,003197724
1,9;0,003260444
1,95;0,003322862
2;0,003384649
