Tensao [V];Corrente [A]
-3;-1,596335E-05
-2,95;-1,198667E-05
-2,9;-8,221822E-06
-2,85;-6,236078E-06
-2,8;-4,874558E-06
-2,75;-2,828752E-06
-2,7;-2,035716E-06
-2,65;-7,565013E-07
-2,6;1,464045E-06
-2,55;2,449745E-06
-2,5;3,427534E-06
-2,45;4,916464E-06
-2,4;5,250262E-06
-2,35;6,974496E-06
-2,3;7,912368E-06
-2,25;8,892507E-06
-2,2;9,69864E-06
-2,15;1,023734E-05
-2,1;1,112615E-05
-2,05;1,112021E-05
-2;1,250781E-05
-1,95;1,319456E-05
-1,9;1,412341E-05
-1,85;1,553485E-05
-1,8;1,650684E-05
-1,75;1,690688E-05
-1,7;1,800281E-05
-1,65;1,940956E-05
-1,6;1,997619E-05
-1,55;1,988597E-05
-1,5;2,167113E-05
-1,45;2,264348E-05
-1,4;2,373399E-05
-1,35;2,52139E-05
-1,3;2,581228E-05
-1,25;2,671098E-05
-1,2;2,791245E-05
-1,15;2,992093E-05
-1,1;3,267732E-05
-1,05;3,391169E-05
-1;3,707232E-05
-0,95;4,009887E-05
-0,9;4,36252E-05
-0,85;4,738928E-05
-0,8;5,289578E-05
-0,75;5,831306E-05
-0,7;6,433626E-05
-0,65;7,264066E-05
-0,6;8,087762E-05
-0,55;8,976893E-05
-0,5;9,988125E-05
-0,45;0,0001110519
-0,4;0,0001229804
-0,35;0,0001368352
-0,3;0,0001526143
-0,25;0,0001688439
-0,2;0,0001863122
-0,15;0,0002065894
-0,1;0,0002269636
-0,05;0,0002499224
0;0,000275744
0,05;0,0002987934
0,1;0,0003229655
0,15;0,0003487522
0,2;0,0003744993
0,25;0,0004019558
0,3;0,0004299653
0,35;0,0004589542
0,4;0,0004886952
0,45;0,0005191308
0,5;0,0005494301
0,55;0,0005800193
0,6;0,0006122756
0,65;0,0006445582
0,7;0,0006776104
0,75;0,0007111696
0,8;0,0007449259
0,85;0,0007782043
0,9;0,0008132732
0,95;0,0008482722
1;0,0008836191
1,05;0,000917411
1,1;0,0009520067
1,15;0,0009861751
1,2;0,001020253
1,25;0,00105514
1,3;0,001088724
1,35;0,001122242
1,4;0,001155722
1,45;0,001188471
1,5;0,001221059
1,55;0,001253031
1,6;0,001285381
1,65;0,001316966
1,7;0,001348178
1,75;0,001378797
1,8;0,001409098
1,85;0,001439703
1,9;0,001469398
1,95;0,00149847
2;0,001529118
