Tensao [V];Corrente [A]
-3;-1,0942E-05
-2,95;-6,548484E-06
-2,9;-2,762011E-06
-2,85;-2,369554E-07
-2,8;9,824386E-07
-2,75;2,841374E-06
-2,7;3,788142E-06
-2,65;6,178482E-06
-2,6;7,354375E-06
-2,55;8,126026E-06
-2,5;8,512715E-06
-2,45;1,081458E-05
-2,4;1,284652E-05
-2,35;1,443815E-05
-2,3;1,587641E-05
-2,25;1,64072E-05
-2,2;1,775883E-05
-2,15;1,795124E-05
-2,1;2,037433E-05
-2,05;2,055489E-05
-2;2,271326E-05
-1,95;2,434345E-05
-1,9;2,588922E-05
-1,85;2,698713E-05
-1,8;2,885139E-05
-1,75;3,011131E-05
-1,7;3,177536E-05
-1,65;3,328801E-05
-1,6;3,440594E-05
-1,55;3,60507E-05
-1,5;3,727924E-05
-1,45;3,897022E-05
-1,4;3,977735E-05
-1,35;4,190174E-05
-1,3;4,440948E-05
-1,25;4,644897E-05
-1,2;4,793394E-05
-1,15;5,154541E-05
-1,1;5,498459E-05
-1,05;5,939377E-05
-1;6,500521E-05
-0,95;7,246628E-05
-0,9;8,187919E-05
-0,85;9,254342E-05
-0,8;0,0001058863
-0,75;0,0001214508
-0,7;0,0001398467
-0,65;0,0001599637
-0,6;0,0001839449
-0,55;0,0002111437
-0,5;0,0002415646
-0,45;0,0002751502
-0,4;0,0003147989
-0,35;0,0003562214
-0,3;0,0004017544
-0,25;0,0004508706
-0,2;0,0005045154
-0,15;0,0005629805
-0,1;0,0006269956
-0,05;0,0006962894
0;0,0007715104
0,05;0,0008432334
0,1;0,0009177777
0,15;0,0009944233
0,2;0,001072918
0,25;0,00115316
0,3;0,001234953
0,35;0,001318826
0,4;0,001403161
0,45;0,00148954
0,5;0,001578905
0,55;0,001668254
0,6;0,001759891
0,65;0,001852752
0,7;0,001947241
0,75;0,002042464
0,8;0,002124843
0,85;0,002233737
0,9;0,002331204
0,95;0,002428133
1;0,002524282
1,05;0,00262176
1,1;0,002718034
1,15;0,002814881
1,2;0,00290909
1,25;0,003001646
1,3;0,003094199
1,35;0,003183071
1,4;0,003272393
1,45;0,003360656
1,5;0,003445181
1,55;0,003530435
1,6;0,003616302
1,65;0,003700521
1,7;0,003783503
1,75;0,003865165
1,8;0,00394445
1,85;0,004023478
1,9;0,004101262
1,95;0,004178147
2;0,00425493
