Tensao [V];Corrente [A]
-3;-2,128952E-05
-2,95;-1,736537E-05
-2,9;-1,475986E-05
-2,85;-1,293058E-05
-2,8;-1,150678E-05
-2,75;-1,059534E-05
-2,7;-9,232841E-06
-2,65;-9,373851E-06
-2,6;-7,902959E-06
-2,55;-7,422097E-06
-2,5;-6,793427E-06
-2,45;-6,191204E-06
-2,4;-4,917677E-06
-2,35;-4,288266E-06
-2,3;-3,722749E-06
-2,25;-3,186644E-06
-2,2;-3,318631E-06
-2,15;-2,189079E-06
-2,1;-1,678432E-06
-2,05;-1,526053E-06
-2;-9,618953E-07
-1,95;-5,680354E-07
-1,9;-2,412808E-07
-1,85;7,215554E-07
-1,8;1,302642E-06
-1,75;1,843317E-06
-1,7;2,456165E-06
-1,65;2,740653E-06
-1,6;3,250309E-06
-1,55;3,591151E-06
-1,5;3,850676E-06
-1,45;4,298417E-06
-1,4;4,744303E-06
-1,35;5,551299E-06
-1,3;6,066888E-06
-1,25;6,525257E-06
-1,2;6,711373E-06
-1,15;7,375387E-06
-1,1;7,834372E-06
-1,05;8,194122E-06
-1;9,082191E-06
-0,95;9,206266E-06
-0,9;9,781915E-06
-0,85;9,906982E-06
-0,8;9,929843E-06
-0,75;1,048065E-05
-0,7;1,122512E-05
-0,65;1,208056E-05
-0,6;1,208674E-05
-0,55;1,296418E-05
-0,5;1,320343E-05
-0,45;1,391107E-05
-0,4;1,419741E-05
-0,35;1,415354E-05
-0,3;1,504432E-05
-0,25;1,559315E-05
-0,2;1,50919E-05
-0,15;1,670935E-05
-0,1;1,65225E-05
-0,05;1,677943E-05
0;2,027683E-05
0,05;1,796496E-05
0,1;1,816541E-05
0,15;1,813328E-05
0,2;1,8768E-05
0,25;2,092082E-05
0,3;2,106281E-05
0,35;2,172225E-05
0,4;2,243409E-05
0,45;2,296277E-05
0,5;2,32134E-05
0,55;2,366287E-05
0,6;2,416845E-05
0,65;2,475016E-05
0,7;2,481849E-05
0,75;2,573795E-05
0,8;2,584943E-05
0,85;2,630422E-05
0,9;2,652727E-05
0,95;2,7369E-05
1;2,801533E-05
1,05;2,843886E-05
1,1;2,881454E-05
1,15;2,928578E-05
1,2;2,990196E-05
1,25;2,989639E-05
1,3;3,02753E-05
1,35;3,119055E-05
1,4;3,175793E-05
1,45;3,207577E-05
1,5;3,256467E-05
1,55;3,289798E-05
1,6;3,345892E-05
1,65;3,383819E-05
1,7;3,41773E-05
1,75;3,504436E-05
1,8;3,517154E-05
1,85;3,53689E-05
1,9;3,598309E-05
1,95;3,653267E-05
2;3,697856E-05
