Tensao [V];Corrente [A]
-3;-1,821794E-05
-2,95;-1,401587E-05
-2,9;-1,051364E-05
-2,85;-8,808444E-06
-2,8;-7,361899E-06
-2,75;-5,889777E-06
-2,7;-5,160387E-06
-2,65;-4,080641E-06
-2,6;-2,798341E-06
-2,55;-2,39756E-06
-2,5;-1,16593E-06
-2,45;-6,203103E-07
-2,4;3,86892E-07
-2,35;1,093415E-06
-2,3;1,121097E-06
-2,25;1,926116E-06
-2,2;3,12833E-06
-2,15;4,345744E-06
-2,1;4,66891E-06
-2,05;4,966005E-06
-2;5,065613E-06
-1,95;6,050692E-06
-1,9;7,51873E-06
-1,85;8,326221E-06
-1,8;8,425458E-06
-1,75;9,127042E-06
-1,7;9,888554E-06
-1,65;1,106865E-05
-1,6;1,132483E-05
-1,55;1,206077E-05
-1,5;1,277211E-05
-1,45;1,315843E-05
-1,4;1,472275E-05
-1,35;1,596809E-05
-1,3;1,753215E-05
-1,25;1,835126E-05
-1,2;1,934499E-05
-1,15;2,035688E-05
-1,1;2,03067E-05
-1,05;2,048046E-05
-1;2,110308E-05
-0,95;2,121258E-05
-0,9;2,175843E-05
-0,85;2,247682E-05
-0,8;2,335327E-05
-0,75;2,46871E-05
-0,7;2,47862E-05
-0,65;2,573594E-05
-0,6;2,778198E-05
-0,55;2,997508E-05
-0,5;3,194375E-05
-0,45;3,529236E-05
-0,4;3,949652E-05
-0,35;4,503748E-05
-0,3;5,171748E-05
-0,25;5,927431E-05
-0,2;6,888533E-05
-0,15;8,074707E-05
-0,1;9,45069E-05
-0,05;0,0001094703
0;0,0001274759
0,05;0,0001410435
0,1;0,0001579275
0,15;0,000174724
0,2;0,0001919313
0,25;0,0002092764
0,3;0,0002268627
0,35;0,0002462435
0,4;0,000264267
0,45;0,0002829876
0,5;0,0003022054
0,55;0,0003206631
0,6;0,0003407895
0,65;0,0003603758
0,7;0,000380097
0,75;0,0004000267
0,8;0,0004208076
0,85;0,0004418816
0,9;0,0004627259
0,95;0,0004837021
1;0,0005059451
1,05;0,0005270909
1,1;0,000548654
1,15;0,0005700709
1,2;0,0005923356
1,25;0,0006135323
1,3;0,000634532
1,35;0,0006555049
1,4;0,0006764623
1,45;0,0006972866
1,5;0,0007170449
1,55;0,0007367081
1,6;0,0007560756
1,65;0,0007753191
1,7;0,0007943795
1,75;0,0008131458
1,8;0,000831533
1,85;0,000850286
1,9;0,0008673481
1,95;0,0008851495
2;0,0009028659
