Tensao [V];Corrente [A]
-3;-2,448218E-05
-2,95;-1,856364E-05
-2,9;-1,478804E-05
-2,85;-1,156758E-05
-2,8;-9,509546E-06
-2,75;-7,878616E-06
-2,7;-5,381982E-06
-2,65;-3,598919E-06
-2,6;-2,322178E-06
-2,55;-7,186835E-07
-2,5;9,073007E-07
-2,45;2,51079E-06
-2,4;3,804952E-06
-2,35;5,27979E-06
-2,3;6,921218E-06
-2,25;8,723431E-06
-2,2;1,053096E-05
-2,15;1,122203E-05
-2,1;1,364599E-05
-2,05;1,487564E-05
-2;1,650409E-05
-1,95;1,860995E-05
-1,9;2,013953E-05
-1,85;2,180641E-05
-1,8;2,468504E-05
-1,75;2,505578E-05
-1,7;2,818033E-05
-1,65;3,060553E-05
-1,6;3,302219E-05
-1,55;3,595902E-05
-1,5;3,880377E-05
-1,45;4,121734E-05
-1,4;4,425366E-05
-1,35;4,730875E-05
-1,3;5,064548E-05
-1,25;5,460718E-05
-1,2;5,875178E-05
-1,15;6,478683E-05
-1,1;7,117103E-05
-1,05;8,054774E-05
-1;9,445315E-05
-0,95;0,0001125626
-0,9;0,0001382317
-0,85;0,000173015
-0,8;0,0002191766
-0,75;0,0002782925
-0,7;0,0003507193
-0,65;0,0004401445
-0,6;0,000549097
-0,55;0,0006800788
-0,5;0,000832387
-0,45;0,001007928
-0,4;0,001207776
-0,35;0,00143016
-0,3;0,001676523
-0,25;0,001944547
-0,2;0,002230268
-0,15;0,00254692
-0,1;0,002881857
-0,05;0,003237108
0;0,003616722
0,05;0,004002438
0,1;0,004401832
0,15;0,004808086
0,2;0,005219588
0,25;0,005637413
0,3;0,006059508
0,35;0,006486674
0,4;0,006918266
0,45;0,007357226
0,5;0,007802455
0,55;0,008251346
0,6;0,008706158
0,65;0,009165306
0,7;0,009626715
0,75;0,01009003
0,8;0,01055578
0,85;0,01101907
0,9;0,01148195
0,95;0,01193942
1;0,01239382
1,05;0,01284323
1,1;0,01328399
1,15;0,01371376
1,2;0,01413428
1,25;0,0145463
1,3;0,01494827
1,35;0,01534321
1,4;0,0157254
1,45;0,01609789
1,5;0,01645802
1,55;0,01681063
1,6;0,01715296
1,65;0,0174872
1,7;0,01781605
1,75;0,0181356
1,8;0,018449
1,85;0,01875483
1,9;0,01905198
1,95;0,01934525
2;0,0196337
