Tensao [V];Corrente [A]
-3;-1,740562E-05
-2,95;-1,289459E-05
-2,9;-1,02876E-05
-2,85;-8,947959E-06
-2,8;-7,517608E-06
-2,75;-6,048452E-06
-2,7;-4,786546E-06
-2,65;-4,435197E-06
-2,6;-3,495842E-06
-2,55;-3,609787E-06
-2,5;-1,565226E-06
-2,45;-3,941523E-07
-2,4;-1,330212E-07
-2,35;4,028339E-07
-2,3;1,841831E-06
-2,25;2,647466E-06
-2,2;3,448653E-06
-2,15;4,046794E-06
-2,1;4,559415E-06
-2,05;5,072035E-06
-2;6,33579E-06
-1,95;7,166884E-06
-1,9;7,204454E-06
-1,85;8,202261E-06
-1,8;9,407439E-06
-1,75;9,94799E-06
-1,7;1,071704E-05
-1,65;1,095729E-05
-1,6;1,125722E-05
-1,55;1,238825E-05
-1,5;1,338124E-05
-1,45;1,42651E-05
-1,4;1,453995E-05
-1,35;1,466057E-05
-1,3;1,636947E-05
-1,25;1,750248E-05
-1,2;1,77709E-05
-1,15;1,914946E-05
-1,1;1,966517E-05
-1,05;2,00824E-05
-1;2,111146E-05
-0,95;2,194972E-05
-0,9;2,29023E-05
-0,85;2,500766E-05
-0,8;2,519241E-05
-0,75;2,688809E-05
-0,7;2,823614E-05
-0,65;3,011904E-05
-0,6;3,162143E-05
-0,55;3,421791E-05
-0,5;3,69083E-05
-0,45;4,076791E-05
-0,4;4,552226E-05
-0,35;5,140727E-05
-0,3;5,994165E-05
-0,25;7,021508E-05
-0,2;8,343754E-05
-0,15;9,963086E-05
-0,1;0,0001196754
-0,05;0,0001424918
0;0,0001689743
0,05;0,0001915798
0,1;0,0002184559
0,15;0,0002448964
0,2;0,0002715408
0,25;0,0002988317
0,3;0,0003247506
0,35;0,0003515952
0,4;0,0003792965
0,45;0,0004064243
0,5;0,0004338124
0,55;0,0004617806
0,6;0,0004902247
0,65;0,0005190077
0,7;0,0005482491
0,75;0,0005773017
0,8;0,0006066292
0,85;0,0006362113
0,9;0,0006656687
0,95;0,0006956852
1;0,0007255673
1,05;0,0007558171
1,1;0,000786436
1,15;0,0008164825
1,2;0,0008462952
1,25;0,0008757281
1,3;0,0009057852
1,35;0,0009356356
1,4;0,0009644862
1,45;0,000993562
1,5;0,001021953
1,55;0,001049118
1,6;0,001075972
1,65;0,001102786
1,7;0,001128896
1,75;0,001153993
1,8;0,001178954
1,85;0,001203742
1,9;0,001227463
1,95;0,001250964
2;0,00127525
