Tensao [V];Corrente [A]
-3;-1,739538E-05
-2,95;-1,337905E-05
-2,9;-9,915997E-06
-2,85;-6,710615E-06
-2,8;-5,449325E-06
-2,75;-2,888679E-06
-2,7;-1,866275E-06
-2,65;-1,04593E-06
-2,6;1,48752E-06
-2,55;2,992141E-06
-2,5;4,453012E-06
-2,45;6,570355E-06
-2,4;7,158736E-06
-2,35;7,972773E-06
-2,3;8,965886E-06
-2,25;9,92229E-06
-2,2;1,074461E-05
-2,15;1,209562E-05
-2,1;1,266447E-05
-2,05;1,312494E-05
-2;1,318599E-05
-1,95;1,474733E-05
-1,9;1,593991E-05
-1,85;1,712927E-05
-1,8;1,777832E-05
-1,75;1,89814E-05
-1,7;1,943E-05
-1,65;1,944657E-05
-1,6;2,090942E-05
-1,55;2,234174E-05
-1,5;2,352578E-05
-1,45;2,397971E-05
-1,4;2,532193E-05
-1,35;2,647261E-05
-1,3;2,773638E-05
-1,25;2,887024E-05
-1,2;3,013165E-05
-1,15;3,117235E-05
-1,1;3,212603E-05
-1,05;3,378069E-05
-1;3,457508E-05
-0,95;3,597985E-05
-0,9;3,734383E-05
-0,85;3,881655E-05
-0,8;4,004906E-05
-0,75;4,113856E-05
-0,7;4,394611E-05
-0,65;4,592257E-05
-0,6;4,893934E-05
-0,55;5,364131E-05
-0,5;6,180297E-05
-0,45;7,084835E-05
-0,4;8,451512E-05
-0,35;0,0001021601
-0,3;0,0001255878
-0,25;0,0001539842
-0,2;0,0001885895
-0,15;0,0002307612
-0,1;0,0002824663
-0,05;0,0003419756
0;0,0004090227
0,05;0,0004691135
0,1;0,0005314776
0,15;0,0005943525
0,2;0,0006581112
0,25;0,0007209635
0,3;0,0007849735
0,35;0,0008487301
0,4;0,0009126455
0,45;0,0009776989
0,5;0,001043373
0,55;0,001107809
0,6;0,001172733
0,65;0,001239339
0,7;0,001306222
0,75;0,001373728
0,8;0,001442152
0,85;0,001509982
0,9;0,001578927
0,95;0,001647995
1;0,001717723
1,05;0,001787136
1,1;0,00185582
1,15;0,001923761
1,2;0,001991656
1,25;0,002057995
1,3;0,002113544
1,35;0,002190676
1,4;0,002254231
1,45;0,002318004
1,5;0,002382432
1,55;0,002444459
1,6;0,002505323
1,65;0,002565351
1,7;0,002623117
1,75;0,002676023
1,8;0,002732612
1,85;0,002787688
1,9;0,002841498
1,95;0,002895432
2;0,002947391
