Tensao [V];Corrente [A]
-3;-2,545945E-05
-2,95;-1,985717E-05
-2,9;-1,650757E-05
-2,85;-1,355059E-05
-2,8;-1,146141E-05
-2,75;-9,278312E-06
-2,7;-8,211788E-06
-2,65;-7,678403E-06
-2,6;-5,150998E-06
-2,55;-3,114345E-06
-2,5;-2,89276E-06
-2,45;-1,01763E-06
-2,4;9,596988E-07
-2,35;2,469758E-06
-2,3;4,401235E-06
-2,25;5,643365E-06
-2,2;7,152929E-06
-2,15;9,503847E-06
-2,1;1,053342E-05
-2,05;1,267326E-05
-2;1,395283E-05
-1,95;1,562651E-05
-1,9;1,744108E-05
-1,85;1,917717E-05
-1,8;2,17566E-05
-1,75;2,380634E-05
-1,7;2,52467E-05
-1,65;2,806093E-05
-1,6;3,023932E-05
-1,55;3,29705E-05
-1,5;3,5008E-05
-1,45;3,794395E-05
-1,4;4,220868E-05
-1,35;4,505442E-05
-1,3;4,852698E-05
-1,25;5,283087E-05
-1,2;5,87181E-05
-1,15;6,357876E-05
-1,1;7,207866E-05
-1,05;8,321571E-05
-1;9,740016E-05
-0,95;0,0001177147
-0,9;0,0001458568
-0,85;0,0001842831
-0,8;0,000235922
-0,75;0,0003012939
-0,7;0,0003837653
-0,65;0,0004846147
-0,6;0,0006082994
-0,55;0,0007555314
-0,5;0,0009283413
-0,45;0,001126694
-0,4;0,001353218
-0,35;0,001605841
-0,3;0,001884046
-0,25;0,002179387
-0,2;0,002514912
-0,15;0,002865778
-0,1;0,003241118
-0,05;0,003640819
0;0,004067177
0,05;0,004502028
0,1;0,004951301
0,15;0,005409205
0,2;0,005872455
0,25;0,006341307
0,3;0,00681517
0,35;0,0072942
0,4;0,007780405
0,45;0,008270993
0,5;0,008770817
0,55;0,009273423
0,6;0,009779928
0,65;0,01029068
0,7;0,01080582
0,75;0,011323
0,8;0,01184074
0,85;0,01235882
0,9;0,01287416
0,95;0,01338571
1;0,01389061
1,05;0,01439129
1,1;0,01488094
1,15;0,01536068
1,2;0,01582784
1,25;0,01628294
1,3;0,01672847
1,35;0,01716245
1,4;0,01758583
1,45;0,01799913
1,5;0,01840141
1,55;0,01879214
1,6;0,0191737
1,65;0,01954705
1,7;0,01990864
1,75;0,02026147
1,8;0,02060736
1,85;0,02094706
1,9;0,02127485
1,95;0,02159554
2;0,02191722
