Tensao [V];Corrente [A]
-3;-1,77721E-05
-2,95;-1,179869E-05
-2,9;-8,390503E-06
-2,85;-5,757802E-06
-2,8;-3,948044E-06
-2,75;-1,530875E-06
-2,7;1,312698E-09
-2,65;2,546582E-07
-2,6;1,710838E-06
-2,55;4,610962E-06
-2,5;6,590885E-06
-2,45;7,564843E-06
-2,4;9,266955E-06
-2,35;1,148342E-05
-2,3;1,360534E-05
-2,25;1,429951E-05
-2,2;1,62248E-05
-2,15;1,705566E-05
-2,1;1,863677E-05
-2,05;1,918202E-05
-2;2,128454E-05
-1,95;2,238183E-05
-1,9;2,397123E-05
-1,85;2,590136E-05
-1,8;2,727362E-05
-1,75;3,022738E-05
-1,7;3,3139E-05
-1,65;3,547892E-05
-1,6;3,758922E-05
-1,55;4,015542E-05
-1,5;4,279429E-05
-1,45;4,536631E-05
-1,4;4,771982E-05
-1,35;5,013056E-05
-1,3;5,241943E-05
-1,25;5,512667E-05
-1,2;5,802539E-05
-1,15;6,264258E-05
-1,1;6,758604E-05
-1,05;7,382588E-05
-1;8,244074E-05
-0,95;9,327626E-05
-0,9;0,0001098895
-0,85;0,0001321219
-0,8;0,0001596929
-0,75;0,0001948732
-0,7;0,0002389842
-0,65;0,0002945491
-0,6;0,0003609601
-0,55;0,0004385846
-0,5;0,0005303908
-0,45;0,0006375619
-0,4;0,0007566937
-0,35;0,000892074
-0,3;0,001040286
-0,25;0,001204868
-0,2;0,001384408
-0,15;0,001580213
-0,1;0,001790128
-0,05;0,002014925
0;0,00224885
0,05;0,00249685
0,1;0,002745996
0,15;0,002999549
0,2;0,003256645
0,25;0,003516251
0,3;0,003779632
0,35;0,004046531
0,4;0,004318822
0,45;0,004594155
0,5;0,004875524
0,55;0,005160217
0,6;0,005448609
0,65;0,005741065
0,7;0,006036291
0,75;0,006332531
0,8;0,006630116
0,85;0,006929161
0,9;0,007221835
0,95;0,00751599
1;0,007808232
1,05;0,00809895
1,1;0,008382992
1,15;0,008662006
1,2;0,008937714
1,25;0,009206658
1,3;0,009471501
1,35;0,009728645
1,4;0,009981047
1,45;0,01022711
1,5;0,0104673
1,55;0,01070364
1,6;0,01093325
1,65;0,01115569
1,7;0,01137459
1,75;0,01158974
1,8;0,01179949
1,85;0,01200503
1,9;0,01220558
1,95;0,01240162
2;0,01259407
