Tensao [V];Corrente [A]
-3;-1,9359E-05
-2,95;-1,349435E-05
-2,9;-1,246404E-05
-2,85;-8,299279E-06
-2,8;-6,828393E-06
-2,75;-5,600345E-06
-2,7;-2,935025E-06
-2,65;-2,77239E-06
-2,6;-1,628873E-06
-2,55;-5,87066E-07
-2,5;3,469741E-07
-2,45;2,002119E-06
-2,4;2,705677E-06
-2,35;3,622785E-06
-2,3;4,810662E-06
-2,25;4,871589E-06
-2,2;6,406116E-06
-2,15;7,599801E-06
-2,1;7,650716E-06
-2,05;8,694004E-06
-2;9,742354E-06
-1,95;1,108113E-05
-1,9;1,170732E-05
-1,85;1,296057E-05
-1,8;1,309899E-05
-1,75;1,400386E-05
-1,7;1,506593E-05
-1,65;1,621229E-05
-1,6;1,593336E-05
-1,55;1,687605E-05
-1,5;1,761594E-05
-1,45;1,897325E-05
-1,4;2,004632E-05
-1,35;2,036578E-05
-1,3;2,177821E-05
-1,25;2,3486E-05
-1,2;2,464076E-05
-1,15;2,51524E-05
-1,1;2,50917E-05
-1,05;2,730124E-05
-1;2,767632E-05
-0,95;2,862333E-05
-0,9;3,000547E-05
-0,85;3,066763E-05
-0,8;3,31278E-05
-0,75;3,429355E-05
-0,7;3,593411E-05
-0,65;3,798572E-05
-0,6;4,02081E-05
-0,55;4,421466E-05
-0,5;4,920738E-05
-0,45;5,558351E-05
-0,4;6,386023E-05
-0,35;7,565658E-05
-0,3;9,022018E-05
-0,25;0,0001084102
-0,2;0,0001308067
-0,15;0,0001576396
-0,1;0,000190391
-0,05;0,0002277859
0;0,0002696092
0,05;0,000306456
0,1;0,0003468973
0,15;0,0003872126
0,2;0,0004273308
0,25;0,0004681139
0,3;0,0005092752
0,35;0,0005502035
0,4;0,0005923149
0,45;0,0006341957
0,5;0,0006760163
0,55;0,000717924
0,6;0,0007612485
0,65;0,0008041233
0,7;0,0008483181
0,75;0,0008921779
0,8;0,0009368267
0,85;0,000981786
0,9;0,001027068
0,95;0,001073394
1;0,001119818
1,05;0,001165522
1,1;0,001211604
1,15;0,001257859
1,2;0,001304017
1,25;0,001349063
1,3;0,001394394
1,35;0,00143891
1,4;0,001482669
1,45;0,001525748
1,5;0,001568396
1,55;0,001610587
1,6;0,001652238
1,65;0,001692714
1,7;0,00173354
1,75;0,001772176
1,8;0,001810949
1,85;0,001848594
1,9;0,001885868
1,95;0,001922392
2;0,001958294
