Tensao [V];Corrente [A]
-3;-1,955377E-05
-2,95;-1,592326E-05
-2,9;-1,325608E-05
-2,85;-1,197502E-05
-2,8;-1,087364E-05
-2,75;-9,496804E-06
-2,7;-8,220682E-06
-2,65;-7,410099E-06
-2,6;-6,456655E-06
-2,55;-5,984071E-06
-2,5;-5,343788E-06
-2,45;-4,447809E-06
-2,4;-4,184206E-06
-2,35;-3,412551E-06
-2,3;-3,009546E-06
-2,25;-2,42302E-06
-2,2;-1,845144E-06
-2,15;-1,541377E-06
-2,1;-2,06401E-06
-2,05;-7,317822E-07
-2;-2,00992E-07
-1,95;3,97891E-07
-1,9;5,334615E-07
-1,85;6,131726E-07
-1,8;1,493453E-06
-1,75;1,748652E-06
-1,7;2,160677E-06
-1,65;2,878199E-06
-1,6;3,702619E-06
-1,55;3,73401E-06
-1,5;4,511224E-06
-1,45;4,9209E-06
-1,4;5,174244E-06
-1,35;5,484192E-06
-1,3;6,173782E-06
-1,25;7,007471E-06
-1,2;6,654766E-06
-1,15;7,93125E-06
-1,1;8,27543E-06
-1,05;8,434976E-06
-1;8,971076E-06
-0,95;9,28708E-06
-0,9;8,950562E-06
-0,85;9,422774E-06
-0,8;1,001709E-05
-0,75;1,044629E-05
-0,7;1,185625E-05
-0,65;1,177394E-05
-0,6;1,233216E-05
-0,55;1,306031E-05
-0,5;1,34627E-05
-0,45;1,340375E-05
-0,4;1,424448E-05
-0,35;1,488204E-05
-0,3;1,491319E-05
-0,25;1,528777E-05
-0,2;1,585922E-05
-0,15;1,570783E-05
-0,1;1,716302E-05
-0,05;1,714942E-05
0;1,979126E-05
0,05;1,774818E-05
0,1;1,795086E-05
0,15;1,865515E-05
0,2;1,910426E-05
0,25;1,929865E-05
0,3;1,980954E-05
0,35;2,029213E-05
0,4;2,049135E-05
0,45;2,105415E-05
0,5;2,15544E-05
0,55;2,1655E-05
0,6;2,208828E-05
0,65;2,277639E-05
0,7;2,29394E-05
0,75;2,344522E-05
0,8;2,404966E-05
0,85;2,458972E-05
0,9;2,510049E-05
0,95;2,540216E-05
1;2,592084E-05
1,05;2,61135E-05
1,1;2,679394E-05
1,15;2,792769E-05
1,2;2,779237E-05
1,25;2,793473E-05
1,3;2,893501E-05
1,35;2,925955E-05
1,4;3,005553E-05
1,45;3,050724E-05
1,5;3,06333E-05
1,55;3,116532E-05
1,6;3,178546E-05
1,65;3,26058E-05
1,7;3,229437E-05
1,75;3,31335E-05
1,8;3,351636E-05
1,85;3,440949E-05
1,9;3,463948E-05
1,95;3,48403E-05
2;3,584873E-05
