Tensao [V];Corrente [A]
-3;-1,733112E-05
-2,95;-1,284208E-05
-2,9;-1,00895E-05
-2,85;-7,342003E-06
-2,8;-5,803145E-06
-2,75;-3,663423E-06
-2,7;-2,676118E-06
-2,65;-1,358596E-06
-2,6;4,764896E-07
-2,55;1,093292E-06
-2,5;1,72344E-06
-2,45;2,931091E-06
-2,4;4,144182E-06
-2,35;6,128302E-06
-2,3;6,449741E-06
-2,25;7,383534E-06
-2,2;8,325482E-06
-2,15;8,979231E-06
-2,1;1,027982E-05
-2,05;1,152689E-05
-2;1,224343E-05
-1,95;1,243869E-05
-1,9;1,432913E-05
-1,85;1,44186E-05
-1,8;1,489366E-05
-1,75;1,59456E-05
-1,7;1,74994E-05
-1,65;1,781602E-05
-1,6;1,862301E-05
-1,55;1,952677E-05
-1,5;2,042337E-05
-1,45;2,208049E-05
-1,4;2,278652E-05
-1,35;2,40289E-05
-1,3;2,523532E-05
-1,25;2,630357E-05
-1,2;2,702776E-05
-1,15;2,79215E-05
-1,1;2,952154E-05
-1,05;3,111107E-05
-1;3,231661E-05
-0,95;3,273223E-05
-0,9;3,53654E-05
-0,85;3,699262E-05
-0,8;3,806013E-05
-0,75;3,979523E-05
-0,7;4,119072E-05
-0,65;4,361988E-05
-0,6;4,641198E-05
-0,55;5,038863E-05
-0,5;5,690972E-05
-0,45;6,482063E-05
-0,4;7,58127E-05
-0,35;8,962445E-05
-0,3;0,0001083847
-0,25;0,0001309616
-0,2;0,0001599697
-0,15;0,0001934768
-0,1;0,0002345735
-0,05;0,0002819888
0;0,0003345823
0,05;0,0003824121
0,1;0,0004332601
0,15;0,0004840341
0,2;0,0005347658
0,25;0,0005856397
0,3;0,0006374437
0,35;0,0006881226
0,4;0,0007401089
0,45;0,0007918309
0,5;0,0008437254
0,55;0,0008969222
0,6;0,0009493789
0,65;0,001003187
0,7;0,001056788
0,75;0,001111243
0,8;0,001166223
0,85;0,001222173
0,9;0,001278866
0,95;0,001335535
1;0,001391901
1,05;0,001448632
1,1;0,001505351
1,15;0,001561686
1,2;0,001618318
1,25;0,001673989
1,3;0,001728301
1,35;0,001784151
1,4;0,00183724
1,45;0,001891918
1,5;0,001943246
1,55;0,001993882
1,6;0,002044951
1,65;0,002094025
1,7;0,002130893
1,75;0,002189291
1,8;0,00223696
1,85;0,002282671
1,9;0,002327853
1,95;0,002372454
2;0,002416493
