Tensao [V];Corrente [A]
-3;-1,846102E-05
-2,95;-1,387398E-05
-2,9;-1,122226E-05
-2,85;-9,617902E-06
-2,8;-7,649346E-06
-2,75;-6,413392E-06
-2,7;-5,646681E-06
-2,65;-4,400469E-06
-2,6;-3,772296E-06
-2,55;-3,154134E-06
-2,5;-1,408769E-06
-2,45;-1,064511E-07
-2,4;1,304574E-07
-2,35;1,113681E-06
-2,3;2,295008E-06
-2,25;3,365852E-06
-2,2;3,401938E-06
-2,15;4,464748E-06
-2,1;4,92324E-06
-2,05;5,539423E-06
-2;6,9909E-06
-1,95;7,956082E-06
-1,9;8,10574E-06
-1,85;9,284471E-06
-1,8;9,532626E-06
-1,75;1,105146E-05
-1,7;1,164354E-05
-1,65;1,209449E-05
-1,6;1,260638E-05
-1,55;1,402758E-05
-1,5;1,433653E-05
-1,45;1,433246E-05
-1,4;1,550253E-05
-1,35;1,615085E-05
-1,3;1,830329E-05
-1,25;1,89165E-05
-1,2;1,946522E-05
-1,15;2,132192E-05
-1,1;2,1435E-05
-1,05;2,301673E-05
-1;2,435093E-05
-0,95;2,528372E-05
-0,9;2,681925E-05
-0,85;2,774883E-05
-0,8;2,972467E-05
-0,75;3,046654E-05
-0,7;3,131406E-05
-0,65;3,331203E-05
-0,6;3,536499E-05
-0,55;3,923621E-05
-0,5;4,195305E-05
-0,45;4,521119E-05
-0,4;5,181768E-05
-0,35;5,935201E-05
-0,3;6,976014E-05
-0,25;8,218143E-05
-0,2;9,81807E-05
-0,15;0,0001175327
-0,1;0,0001423695
-0,05;0,0001703255
0;0,0002030381
0,05;0,000231502
0,1;0,0002634739
0,15;0,0002965199
0,2;0,0003287208
0,25;0,0003606822
0,3;0,0003916219
0,35;0,0004246381
0,4;0,0004579726
0,45;0,0004913768
0,5;0,0005251785
0,55;0,0005588043
0,6;0,0005922749
0,65;0,0006260208
0,7;0,0006605749
0,75;0,0006949245
0,8;0,0007299813
0,85;0,0007653462
0,9;0,0008007048
0,95;0,0008373966
1;0,0008739731
1,05;0,0009102123
1,1;0,0009470088
1,15;0,0009877481
1,2;0,001024169
1,25;0,001060697
1,3;0,001095321
1,35;0,001129676
1,4;0,001163547
1,45;0,00119703
1,5;0,001229384
1,55;0,00126369
1,6;0,001296261
1,65;0,001327752
1,7;0,001358142
1,75;0,001390422
1,8;0,001421125
1,85;0,001450736
1,9;0,001478465
1,95;0,00150719
2;0,00153561
